question,intent
Where can I find the cafeteria?,campus_facility
What facilities are available on campus?,campus_facility
What campus facilities are available?,campus_facility
Where is the cafeteria located?,campus_facility
What are the library operating hours?,campus_facility
Is there a computer laboratory on campus?,campus_facility
Where can I find student facilities?,campus_facility
Where can I study on campus?,campus_facility
Is there a study area on campus?,campus_facility
Where is the student study space?,campus_facility
Can I study in the library?,campus_facility
Are there quiet study areas?,campus_facility
Where is the printing facility?,campus_facility
Can I print documents on campus?,campus_facility
Is there a printer available for students?,campus_facility
Where can students use a printer?,campus_facility
Does the campus provide printing services?,campus_facility
Where is the campus computer lab?,campus_facility
Where is the student computer laboratory?,campus_facility
How do I locate the computer lab?,campus_facility
Which building contains the computer laboratory?,campus_facility
Is there a computer room for students?,campus_facility
Where are the student computers located?,campus_facility
Can students access the computer lab?,campus_facility
I need to use a computer on campus,campus_facility
Does the campus provide computer facilities?,campus_facility
Which campus facility has computers?,campus_facility
Where is the campus food court?,campus_facility
Is there a place to buy meals on campus?,campus_facility
Where can students get food?,campus_facility
Does the campus have a cafeteria?,campus_facility
Where is the printing service on campus?,campus_facility
Can students print documents at TARUMT?,campus_facility
Where can I use a photocopy machine?,campus_facility
Is photocopying available on campus?,campus_facility
Goodbye,goodbye
Bye,goodbye
Thank you,goodbye
See you,goodbye
That is all,goodbye
Thanks for your help,goodbye
Thank you very much,goodbye
See you later,goodbye
I have no more questions,goodbye
I am done for now,goodbye
I have finished my questions,goodbye
I am done asking for help,goodbye
I do not have anything else to ask,goodbye
That completes my questions,goodbye
I am finished for now,goodbye
I need to leave now,goodbye
I am going now,goodbye
Please end this chat,goodbye
That is the end of the conversation,goodbye
We can stop chatting now,goodbye
I have to leave now,goodbye
I need to go now,goodbye
I am leaving the chat,goodbye
What is the weather today?,unknown
Will it rain tomorrow?,unknown
What is the temperature outside?,unknown
Who is the president?,unknown
Tell me a joke,unknown
What is your favourite movie?,unknown
Can you play music?,unknown
What is the capital of Japan?,unknown
How do I cook fried rice?,unknown
What time is the football match?,unknown
Who won the game yesterday?,unknown
Can you order food for me?,unknown
What is two plus two?,unknown
Can you recommend a restaurant?,unknown
How old are you?,unknown
What is your name?,unknown
Can you sing a song?,unknown
Where should I go for vacation?,unknown
What is the latest news?,unknown
Can you translate this sentence?,unknown
How do I repair my computer?,unknown
What phone should I buy?,unknown
Can you book a hotel?,unknown
What is Bitcoin?,unknown
Tell me about dinosaurs,unknown
